area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,1992,70,Total Covered,"Total, all industries",2638,30474,501182257,16446
01003,1992,71,Federal Government,"Total, all industries",33,194,6065856,31254
01003,1992,71,State Government,"Total, all industries",26,1006,18935487,18815
01003,1992,71,Local Government,"Total, all industries",79,4520,87505538,19362
01003,1992,71,Private,"Total, all industries",2501,24754,388675376,15701
01097,1992,70,Total Covered,"Total, all industries",8635,152413,3450846983,22641
01097,1992,71,Federal Government,"Total, all industries",49,2929,109203836,37280
01097,1992,71,State Government,"Total, all industries",49,8647,222325123,25710
01097,1992,71,Local Government,"Total, all industries",49,13130,276812172,21082
01097,1992,71,Private,"Total, all industries",8488,127706,2842505852,22258
02013,1992,70,Total Covered,"Total, all industries",64,1842,45111356,24495
02013,1992,71,Federal Government,"Total, all industries",7,26,1060960,40806
02013,1992,71,Private,"Total, all industries",40,1564,36905578,23596
02016,1992,70,Total Covered,"Total, all industries",170,4893,144520454,29538
02016,1992,71,Federal Government,"Total, all industries",16,771,16971783,22025
02016,1992,71,State Government,"Total, all industries",11,46,825448,18142
02016,1992,71,Local Government,"Total, all industries",8,444,15931126,35881
02016,1992,71,Private,"Total, all industries",135,3633,110792097,30500
02020,1992,70,Total Covered,"Total, all industries",6241,112964,3730614532,33025
02020,1992,71,Federal Government,"Total, all industries",67,11214,423039949,37724
02020,1992,71,Private,"Total, all industries",6122,85328,2643128722,30976
02050,1992,70,Total Covered,"Total, all industries",298,4431,112035386,25285
02050,1992,71,Federal Government,"Total, all industries",16,211,7714571,36562
02050,1992,71,State Government,"Total, all industries",28,321,14962366,46672
02050,1992,71,Local Government,"Total, all industries",40,1566,38043302,24288
02050,1992,71,Private,"Total, all industries",215,2333,51315147,21996
02060,1992,70,Total Covered,"Total, all industries",88,1076,32654413,30357
02060,1992,71,Federal Government,"Total, all industries",9,99,2699916,27203
02060,1992,71,Private,"Total, all industries",67,674,19681863,29216
02070,1992,70,Total Covered,"Total, all industries",142,1984,52666266,26549
02070,1992,71,Federal Government,"Total, all industries",6,63,1984425,31666
02070,1992,71,State Government,"Total, all industries",14,61,2739204,45276
02070,1992,71,Local Government,"Total, all industries",11,400,11076384,27703
02070,1992,71,Private,"Total, all industries",112,1461,36866253,25238
02100,1992,70,Total Covered,"Total, all industries",106,681,18441711,27064
02100,1992,71,Federal Government,"Total, all industries",3,9,364841,42506
02100,1992,71,State Government,"Total, all industries",8,37,1617371,43517
02100,1992,71,Local Government,"Total, all industries",3,124,3520009,28425
02100,1992,71,Private,"Total, all industries",92,512,12939490,25281
02110,1992,70,Total Covered,"Total, all industries",871,14190,447376090,31527
02110,1992,71,Federal Government,"Total, all industries",26,1099,49709738,45252
02110,1992,71,State Government,"Total, all industries",31,4334,176427290,40710
02110,1992,71,Local Government,"Total, all industries",4,1510,53990539,35759
02110,1992,71,Private,"Total, all industries",810,7248,167248523,23074
02122,1992,70,Total Covered,"Total, all industries",1382,14277,425473722,29801
02122,1992,71,Federal Government,"Total, all industries",29,308,11482444,37240
02122,1992,71,State Government,"Total, all industries",65,979,38973629,39816
02122,1992,71,Local Government,"Total, all industries",14,2063,70866544,34347
02122,1992,71,Private,"Total, all industries",1274,10927,304151105,27836
02130,1992,70,Total Covered,"Total, all industries",509,7299,227684846,31196
02130,1992,71,Federal Government,"Total, all industries",13,319,12236287,38358
02130,1992,71,State Government,"Total, all industries",17,555,21626062,38937
02130,1992,71,Local Government,"Total, all industries",7,908,31828411,35073
02130,1992,71,Private,"Total, all industries",471,5517,161994086,29364
02150,1992,70,Total Covered,"Total, all industries",402,5246,136479482,26018
02150,1992,71,Federal Government,"Total, all industries",7,174,6812229,39113
02150,1992,71,State Government,"Total, all industries",19,272,10789320,39606
02150,1992,71,Local Government,"Total, all industries",11,639,20020001,31342
02150,1992,71,Private,"Total, all industries",366,4160,98857932,23763
02164,1992,70,Total Covered,"Total, all industries",76,541,11242641,20794
02164,1992,71,Federal Government,"Total, all industries",5,49,1612099,33125
02164,1992,71,Private,"Total, all industries",52,382,8024318,20983
02170,1992,70,Total Covered,"Total, all industries",815,7928,211158599,26634
02170,1992,71,Federal Government,"Total, all industries",16,107,4108070,38274
02170,1992,71,State Government,"Total, all industries",37,782,29344547,37525
02170,1992,71,Private,"Total, all industries",757,5364,120846366,22530
02180,1992,70,Total Covered,"Total, all industries",238,2863,76289077,26643
02180,1992,71,Federal Government,"Total, all industries",16,98,3794348,38916
02180,1992,71,State Government,"Total, all industries",27,218,10820408,49673
02180,1992,71,Local Government,"Total, all industries",30,957,24937417,26053
02180,1992,71,Private,"Total, all industries",165,1591,36736904,23092
02185,1992,70,Total Covered,"Total, all industries",179,6799,385996801,56769
02185,1992,71,Federal Government,"Total, all industries",7,78,2106180,26973
02185,1992,71,State Government,"Total, all industries",15,56,3062922,54452
02185,1992,71,Local Government,"Total, all industries",10,1780,77110170,43330
02185,1992,71,Private,"Total, all industries",147,4886,303717529,62167
02188,1992,70,Total Covered,"Total, all industries",115,2144,73816125,34429
02188,1992,71,Federal Government,"Total, all industries",10,79,2836981,36063
02188,1992,71,State Government,"Total, all industries",19,74,3487545,46970
02188,1992,71,Local Government,"Total, all industries",20,744,18986709,25525
02188,1992,71,Private,"Total, all industries",67,1247,48504890,38889
02220,1992,70,Total Covered,"Total, all industries",319,3900,110411301,28312
02220,1992,71,Federal Government,"Total, all industries",8,267,10342598,38773
02220,1992,71,Private,"Total, all industries",290,2890,75536080,26139
02261,1992,70,Total Covered,"Total, all industries",424,4571,163884313,35856
02261,1992,71,Federal Government,"Total, all industries",17,128,4849921,37890
02261,1992,71,State Government,"Total, all industries",41,492,19334160,39297
02261,1992,71,Local Government,"Total, all industries",12,717,23149407,32268
02261,1992,71,Private,"Total, all industries",355,3233,116550825,36048
02270,1992,70,Total Covered,"Total, all industries",99,1242,24192109,19476
02270,1992,71,Federal Government,"Total, all industries",6,31,623695,20283
02270,1992,71,State Government,"Total, all industries",11,16,610511,37378
