area_fips,year,agglvl_code,own_title,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay
01003,1990,26,Total Covered,All Industries,2360,27710,421463943,15209
01003,1990,27,Federal Government,All Industries,12,209,5204363,24901
01003,1990,27,State Government,All Industries,20,926,15480427,16717
01003,1990,27,Local Government,All Industries,33,4051,72134229,17806
01003,1990,27,Private,All Industries,2295,22523,328644924,14591
01097,1990,26,Total Covered,All Industries,8210,144429,3008559659,20830
01097,1990,27,Federal Government,All Industries,32,2998,94823589,31628
01097,1990,27,State Government,All Industries,34,8084,175094762,21659
01097,1990,27,Local Government,All Industries,46,12387,245544785,19822
01097,1990,27,Private,All Industries,8097,120961,2493096523,20610
02013,1990,26,Total Covered,All Industries,57,1426,33024451,23158
02013,1990,27,Federal Government,All Industries,6,30,1158182,38606
02013,1990,27,State Government,All Industries,0,0,0,0
02013,1990,27,Local Government,All Industries,7,195,4992952,25604
02013,1990,27,Private,All Industries,43,1202,26872892,22356
02016,1990,26,Total Covered,All Industries,166,3782,106590085,28183
02016,1990,27,Federal Government,All Industries,16,732,13766632,18806
02016,1990,27,State Government,All Industries,9,81,2341166,28903
02016,1990,27,Local Government,All Industries,8,402,12115333,30137
02016,1990,27,Private,All Industries,134,2567,78366954,30528
02020,1990,26,Total Covered,All Industries,5970,109421,3387342842,30956
02020,1990,27,Federal Government,All Industries,62,10372,351014729,33842
02020,1990,27,State Government,All Industries,31,7458,260453585,34922
02020,1990,27,Local Government,All Industries,6,8234,315141674,38273
02020,1990,27,Private,All Industries,5871,83356,2460732854,29520
02050,1990,26,Total Covered,All Industries,265,4493,104023953,23152
02050,1990,27,Federal Government,All Industries,15,288,9746375,33841
02050,1990,27,State Government,All Industries,20,316,13732015,43455
02050,1990,27,Local Government,All Industries,40,1678,39662932,23637
02050,1990,27,Private,All Industries,190,2211,40882631,18490
02060,1990,26,Total Covered,All Industries,83,1015,28217781,27800
02060,1990,27,Federal Government,All Industries,9,88,2536253,28821
02060,1990,27,State Government,All Industries,8,40,1569914,39247
02060,1990,27,Local Government,All Industries,6,287,7970227,27770
02060,1990,27,Private,All Industries,61,601,16141387,26857
02070,1990,26,Total Covered,All Industries,205,2307,54227257,23505
02070,1990,27,Federal Government,All Industries,10,89,2836760,31873
02070,1990,27,State Government,All Industries,14,67,2855258,42615
02070,1990,27,Local Government,All Industries,24,451,10690054,23703
02070,1990,27,Private,All Industries,156,1700,37845185,22261
02100,1990,26,Total Covered,All Industries,102,885,22962034,25945
02100,1990,27,Federal Government,All Industries,3,9,350552,38950
02100,1990,27,State Government,All Industries,9,41,1453463,35450
02100,1990,27,Local Government,All Industries,3,117,3009380,25721
02100,1990,27,Private,All Industries,87,718,18148639,25276
02110,1990,26,Total Covered,All Industries,847,13880,399019399,28747
02110,1990,27,Federal Government,All Industries,25,1406,48498486,34493
02110,1990,27,State Government,All Industries,25,4417,164625615,37270
02110,1990,27,Local Government,All Industries,4,1451,47827913,32962
02110,1990,27,Private,All Industries,792,6606,138067385,20900
02122,1990,26,Total Covered,All Industries,1263,13681,402804569,29442
02122,1990,27,Federal Government,All Industries,28,285,9966509,34970
02122,1990,27,State Government,All Industries,37,1070,39003737,36452
02122,1990,27,Local Government,All Industries,21,1981,62114835,31355
02122,1990,27,Private,All Industries,1177,10345,291719488,28199
02130,1990,26,Total Covered,All Industries,490,7767,225819210,29074
02130,1990,27,Federal Government,All Industries,13,287,10139556,35329
02130,1990,27,State Government,All Industries,17,528,19596168,37113
02130,1990,27,Local Government,All Industries,8,934,29452290,31533
02130,1990,27,Private,All Industries,453,6017,166631196,27693
02150,1990,26,Total Covered,All Industries,405,5672,128651626,22681
02150,1990,27,Federal Government,All Industries,7,162,5898415,36409
02150,1990,27,State Government,All Industries,18,280,10380519,37073
02150,1990,27,Local Government,All Industries,10,643,18848088,29312
02150,1990,27,Private,All Industries,370,4587,93524604,20389
02170,1990,26,Total Covered,All Industries,725,6899,176214662,25542
02170,1990,27,Federal Government,All Industries,16,104,3453126,33203
02170,1990,27,State Government,All Industries,24,811,28416808,35039
02170,1990,27,Local Government,All Industries,5,1451,44949469,30978
02170,1990,27,Private,All Industries,680,4534,99395259,21922
02180,1990,26,Total Covered,All Industries,225,2798,73215187,26166
02180,1990,27,Federal Government,All Industries,14,98,3490236,35614
02180,1990,27,State Government,All Industries,18,228,10415051,45680
02180,1990,27,Local Government,All Industries,25,935,22651098,24225
02180,1990,27,Private,All Industries,169,1538,36658802,23835
02185,1990,26,Total Covered,All Industries,169,7494,399591227,53321
02185,1990,27,Federal Government,All Industries,7,107,2701156,25244
02185,1990,27,State Government,All Industries,11,32,1271355,39729
02185,1990,27,Local Government,All Industries,10,1715,72351926,42187
02185,1990,27,Private,All Industries,141,5640,323266790,57316
02188,1990,26,Total Covered,All Industries,111,2140,64438586,30111
02188,1990,27,Federal Government,All Industries,9,79,2565270,32471
